
1|54|1148
3|316|1178
4|520|1178
5|420|1178
6|208|1178
7|510|91
8|392|91
9|274|91
14|55|533
15|55|668
16|55|803
17|55|938
19|135|50
20|695|871
32|597|350
33|665|60
44|55|1073
57|-1|-1
58|-1|-1
59|-1|-1
60|624|1233
2|54|1148
46|702|1191
|380|1180
|480|750
|480|980
|155|200
52|155|400
53|420|1020
|60|740
38|548|62
39|430|60
47|600|860
45|90|950
23|-1|-1
25|-1|-1
27|-1|-1
28|-1|-1
29|-1|-1
30|-1|-1
35|-1|-1
50|-1|-1
66|-1|-1
24|-1|-1
26|-1|-1
51|-1|-1
31|-1|-1
10|-1|-1
11|-1|-1
12|-1|-1
13|-1|-1
34|-1|-1
72|-1|-1
37|-1|-1
71|-1|-1
65|-1|-1
70|-1|-1
73|-1|-1
18|-1|-1
21|-1|-1
22|-1|-1
36|-1|-1
40|-1|-1
41|-1|-1
49|-1|-1
54|-1|-1
55|-1|-1
56|-1|-1
61|-1|-1
62|-1|-1
63|-1|-1
64|-1|-1
67|-1|-1
68|-1|-1
69|-1|-1
48|-1|-1
